"UserInput (Clean)","Predicted Bot Response"
"hey","Hello! I am your railway assistant. How can I help you today?"
"hello","Hi there! How can I assist you with your railway queries?"
"hi","Hi there! How can I assist you with your railway queries?"
"good morning","Hello! I am your railway assistant. How can I help you today?"
"good evening","Hi there! How can I assist you with your railway queries?"
"hey there","Hello! I am your railway assistant. How can I help you today?"
"what's up","Hi there! How can I assist you with your railway queries?"
"greetings","Hello! I am your railway assistant. How can I help you today?"
"bye","Take care! Feel free to ask if you have more questions later."
"goodbye","Goodbye! Have a safe journey."
"see you around","Take care! Feel free to ask if you have more questions later."
"see you later","Take care! Feel free to ask if you have more questions later."
"cu","Take care! Feel free to ask if you have more questions later."
"talk to you later","Goodbye! Have a safe journey."
"exit","Goodbye! Have a safe journey."
"yes","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"indeed","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"of course","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, ticket cancellation, and station information. How can I assist you?"
"that's right","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, ticket cancellation, and station information. How can I assist you?"
"correct","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, ticket cancellation, and station information. How can I assist you?"
"yup","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"sure","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"sounds good","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, and ticket cancellations, and station information. How can I assist you?"
"no","Sure, what is the PNR number of the ticket you wish to cancel?"
"never","Sure, what is the PNR number of the ticket you wish to cancel?"
"I don't think so","Sure, what is the PNR number of the ticket you wish to cancel?"
"not really","Please provide the PNR you want to cancel."
"nope","Sure, what is the PNR number of the ticket you wish to cancel?"
"nah","Please provide the PNR you want to cancel."
"are you a bot?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"are you human?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"am I talking to a bot?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"am I talking to a human?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"what are you?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"thanks","No problem at all."
"thank you","You're welcome!"
