"UserInput","ExpectedIntent"
"hey","greet"
"hello","greet"
"hi","greet"
"good morning","greet"
"good evening","greet"
"hey there","greet"
"what's up","greet"
"greetings","greet"
"howdy","greet"
"yo","greet"
"Hiya","greet"
"Heya","greet"
"Good day","greet"
"Morning","greet"
"Afternoon","greet"
"Evening","greet"
"How are you?","greet"
"How's it going?","greet"
"What's new?","greet"
"Sup","greet"
"Alright?","greet"
"Hi there!","greet"
"Hello!","greet"
"Greetings and salutations","greet"
"Good to interact with you","greet"
"Nice to talk to you","greet"
"How do you do?","greet"
"Hey, how are things?","greet"
"What's happening?","greet"
"Hey buddy","greet"
"Hello friend","greet"
"Hey assistant","greet"
"Hi bot","greet"
"Good afternoon","greet"
"Good morning to you","greet"
"A pleasant good evening","greet"
"Well hello there","greet"
"Ahoy","greet"
"Hola","greet"
"Bonjour","greet"
"Ciao","greet"
"Konnichiwa","greet"
"Namaste","greet"
"Salaam","greet"
"How are you doing today?","greet"
"Hope you're having a good day","greet"
"It's me again","greet"
"Just saying hi","greet"
"Wanted to greet you","greet"
"A warm hello","greet"
"Hey, can you help?","greet"
"Hello, I have a question.","greet"
"Start","greet"
"Begin","greet"
"bye","goodbye"
"goodbye","goodbye"
"see you around","goodbye"
"see you later","goodbye"
"cu","goodbye"
"talk to you later","goodbye"
"exit","goodbye"
"farewell","goodbye"
"I'm off","goodbye"
"Bye bye","goodbye"
"See ya","goodbye"
"Later","goodbye"
"Take care","goodbye"
"Adios","goodbye"
"Au revoir","goodbye"
"Ciao for now","goodbye"
"Catch you later","goodbye"
"I'm out","goodbye"
"Gotta go","goodbye"
"Have a good one","goodbye"
"So long","goodbye"
"Until next time","goodbye"
"I'll be off then","goodbye"
"Time to go","goodbye"
"Signing off","goodbye"
"End session","goodbye"
"Disconnect","goodbye"
"I need to leave","goodbye"
"That's all for now","goodbye"
"Finished","goodbye"
"Done","goodbye"
"I'm done here","goodbye"
"All set, goodbye","goodbye"
"Thanks, bye!","goodbye"
"It was nice talking to you, bye","goodbye"
"I must be going","goodbye"
"Fare thee well","goodbye"
"See you soon","goodbye"
"I have to run","goodbye"
"Talk soon","goodbye"
"Okay, I'm leaving","goodbye"
"Cheerio","goodbye"
"Bye for now","goodbye"
"Catch you on the flip side","goodbye"
"I'm heading out","goodbye"
"Gotta jet","goodbye"
"Peace out","goodbye"
"Time for me to depart","goodbye"
"Exiting now","goodbye"
"Log off","goodbye"
"I am leaving","goodbye"
"End conversation","goodbye"
"Stop","goodbye"
"yes","affirm"
"indeed","affirm"
"of course","affirm"
"that's right","affirm"
"correct","affirm"
"yup","affirm"
"sure","affirm"
"sounds good","affirm"
"absolutely","affirm"
"you bet","affirm"
"Okay","affirm"
"Alright","affirm"
"Roger that","affirm"
"Affirmative","affirm"
"Certainly","affirm"
"Definitely","affirm"
"For sure","affirm"
"You got it","affirm"
"That's it","affirm"
"Exactly","affirm"
"Precisely","affirm"
"True","affirm"
"Agreed","affirm"
"I agree","affirm"
"That's the one","affirm"
"Positive","affirm"
"Spot on","affirm"
"Righto","affirm"
"Undoubtedly","affirm"
"By all means","affirm"
"Sure thing","affirm"
"Okay then","affirm"
"Sounds about right","affirm"
"That works for me","affirm"
"Perfect","affirm"
"Yep","affirm"
"Yeah","affirm"
"Ya","affirm"
"Mhm","affirm"
"Uh-huh","affirm"
"That is correct","affirm"
"That is right","affirm"
"You are correct","affirm"
"That's true","affirm"
"I concur","affirm"
"Indeed it is","affirm"
"As you say","affirm"
"Fine","affirm"
"Good","affirm"
"Yes please","affirm"
"Proceed","affirm"
"Go ahead","affirm"
"Okay, do it","affirm"
"no","deny"
"never","deny"
"I don't think so","deny"
"not really","deny"
"nope","deny"
"nah","deny"
"no way","deny"
"definitely not","deny"
"Nuh-uh","deny"
"Negative","deny"
"I disagree","deny"
"Not at all","deny"
